id,parcela_id,anio,mes,monto,pagado,fecha_pago,metodo,created_at,trasladado_a_deuda
"1d8df436-3a6c-49ea-8e4d-8a0fa4ae0c78","4fd9eb76-7b0d-4e08-a420-9c9d25554f23","2026","8","30000","false","","","2026-08-14T02:17:31.512861+00:00","false"
"51f4a46b-32be-42c7-9a76-301d5bcd7100","5da5ff4f-c27e-4403-8c38-758cf4d84259","2026","8","30000","false","","","2026-08-14T02:17:33.849783+00:00","false"
"ef6dbfa6-8258-424b-b8c8-f60ec46b4ae1","0cf272dc-95b7-4d12-993a-f9e5d86a3c70","2026","8","30000","false","","","2026-08-14T02:17:34.096823+00:00","false"
"70aad802-abc3-4666-9316-adf2ab70cbf2","f9a95c60-1eb8-4275-871e-b219398b5867","2026","8","30000","false","","","2026-08-14T02:17:34.361942+00:00","false"
"f746dfaf-b3b0-4e8e-b0d5-1fd40cd73f75","6897c93e-adf1-45bd-b106-bcc38e147224","2026","8","30000","false","","","2026-08-14T02:17:34.603496+00:00","false"
"59d9dfad-43ef-456b-b164-b2439d7b62cd","5e020e67-bf05-442f-b2ad-647c42e4c209","2026","8","30000","false","","","2026-08-14T02:17:34.834603+00:00","false"
"303d1f71-9ae8-4dbf-b154-6bf72a59aff2","c38ca2f7-3b42-47ee-997c-bf9580786af9","2026","8","30000","false","","","2026-08-14T02:17:35.109109+00:00","false"
"1102edc4-2bc3-42e8-84ef-e6fb6f979bfe","93183a81-9fba-454f-9e0c-20c9e774d404","2026","8","30000","false","","","2026-08-14T02:17:32.290588+00:00","false"
"749be702-1bdb-4ab8-a49a-c8336fb925fc","3b23bf51-ad5e-4962-94f5-604a90e6adbf","2026","8","30000","false","","","2026-08-14T02:17:32.538306+00:00","false"
"8ce7e230-3a2e-441e-ae2b-446a768a14d2","5b219614-3678-4f4f-9ac8-44270d871475","2026","8","30000","false","","","2026-08-14T02:17:32.81793+00:00","false"
"09e6935f-1ffd-4226-b8b4-9309b4096fd6","7dd1909e-06cf-49a7-bf90-f6ab182bd6d8","2026","8","30000","false","","","2026-08-14T02:17:33.079594+00:00","false"
